Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1905:4:16:0 0.251923 0.0858055 -0.155643 0.286842
1905:5:16:0 0.585327 1.27233 -0.330574 0.114448
1905:6:16:0 0.332417 1.13583 -0.0329986 -0.219
1905:7:16:0 0.71126 0.830661 -0.374668 0.483263
1905:8:16:0 0.696952 1.17499 -0.46579 0.342353
1905:9:16:0 0.977114 0.81773 -0.50753 0.822014
1905:10:16:0 0.620256 0.630202 -0.335969 0.47314
1905:11:16:0 0.56792 1.18487 -0.34978 0.150373
1905:12:16:0 0.594031 0.271027 -0.245748 0.581392
1906:1:16:0 0.319021 0.443729 -0.342182 0.268248
1906:2:16:0 0.424538 0.444766 -0.233287 0.318799
1906:3:16:0 0.855377 -0.0498364 -0.377491 1.06904
1906:4:16:0 0.387226 -0.047599 -0.257794 0.539922
1906:5:16:0 0.201704 -0.062904 -0.115112 0.290712
1906:6:16:0 0.246919 -0.0751864 -0.151803 0.360414
1906:7:16:0 0.0835947 -0.856493 0.0113292 0.506176
1906:8:16:0 0.247151 -1.04728 0.173218 0.684184
1906:9:16:0 -0.476855 -1.0747 0.25379 -0.0664011
1906:10:16:0 -0.531645 -0.771796 0.155903 -0.223699
1906:11:16:0 0.00171946 -0.460283 -0.0654415 0.264582
1906:12:16:0 -0.160339 -0.495173 0.0462315 0.0641323
1907:1:16:0 -0.273325 -0.448087 -0.118902 0.0101697
1907:2:16:0 -0.239439 -0.18726 -0.226351 -0.0326331
1907:3:16:0 -0.22918 -0.356314 -0.227785 0.0628693
1907:4:16:0 -0.313735 -0.476301 -0.325564 0.0871977
1907:5:16:0 -0.139061 -0.655398 -0.225245 0.301261
1907:6:16:0 -0.0719582 -0.252138 0.0219316 0.0431449
1907:7:16:0 -0.0909027 -0.708157 -0.0171209 0.271736
1907:8:16:0 -0.0908466 -1.05506 -0.111112 0.492237
1907:9:16:0 0.0970594 -0.105841 -0.302535 0.301248
1907:10:16:0 -0.276507 -0.587758 0.118105 -0.0416798
1907:11:16:0 -0.0797488 -0.420082 0.118016 0.071284
1907:12:16:0 -0.123525 -0.438127 -0.0638323 0.127454
1908:1:16:0 -0.272823 -0.218498 -0.218379 -0.0543841
1908:2:16:0 -0.129765 -0.0275948 -0.211375 -0.0102795
1908:3:16:0 -0.318845 0.0255623 -0.0581525 -0.30255
1908:4:16:0 -0.220361 -0.858281 -0.0230807 0.22032
1908:5:16:0 -0.062494 -0.811272 0.00256128 0.341861
1908:6:16:0 -0.300268 0.077575 -0.154315 -0.261898
1908:7:16:0 -0.322035 -0.590142 0.0387108 -0.046319
1908:8:16:0 -0.307636 -0.522621 -0.14455 0.02595
1908:9:16:0 -0.219193 -0.769723 -0.0995243 0.215431
1908:10:16:0 -0.318792 -0.438027 -0.168144 -0.0157061
1908:11:16:0 -0.55088 -0.86462 -0.0627546 -0.0871926
1908:12:16:0 -0.699825 -0.869855 -0.27466 -0.127567
1909:1:16:0 -0.297805 0.052108 -0.189244 -0.229237
1909:2:16:0 -0.484474 -0.782469 -0.104044 -0.041218
1909:3:16:0 -0.332798 -0.182577 -0.332501 -0.0752589
1909:4:16:0 -0.362279 -0.677461 -0.189309 0.0711054
1909:5:16:0 0.0452996 -0.658759 0.0606392 0.34436
1909:6:16:0 -0.616051 -1.19523 0.179328 -0.108101
1909:7:16:0 -0.6451 -0.930446 0.1989 -0.279327
1909:8:16:0 -0.752426 -1.18102 0.28686 -0.305347
1909:9:16:0 -0.551012 -1.15975 0.239884 -0.0910782
1909:10:16:0 -0.847213 -1.03991 0.12882 -0.39167
1909:11:16:0 -0.982515 -1.09729 0.0537866 -0.460762
1909:12:16:0 -0.738427 -0.839012 0.0365094 -0.337176
1910:1:16:0 -0.897145 -1.05926 0.149393 -0.44221
1910:2:16:0 -0.632785 -0.605329 0.0506938 -0.355468
1910:3:16:0 -0.741615 -0.740095 -0.215602 -0.263766
1910:4:16:0 -0.930095 -0.738056 -0.18179 -0.470172
1910:5:16:0 -0.98446 -0.97068 0.0815755 -0.539908
1910:6:16:0 -0.894854 -0.826925 -0.0181328 -0.472325
1910:7:16:0 -0.747146 -0.685779 0.314783 -0.561648
1910:8:16:0 -0.730641 -0.66056 0.185066 -0.492893
1910:9:16:0 -1.00055 -0.811493 0.125665 -0.657637
1910:10:16:0 -0.86515 -0.872234 0.197089 -0.527578
1910:11:16:0 -0.683337 -0.589841 -0.00534016 -0.385747
1910:12:16:0 -0.575582 -0.775087 -0.0616424 -0.157217
1911:1:16:0 -0.46909 -0.565213 -0.0216004 -0.175683
1911:2:16:0 -0.431379 -0.578088 -0.337406 0.0263678
1911:3:16:0 -0.622591 -0.618644 -0.0380527 -0.294243
1911:4:16:0 -0.823625 -0.921788 0.0470663 -0.386264
1911:5:16:0 -0.605529 -0.990583 -0.21848 -0.000996947
1911:6:16:0 -0.666279 -0.423585 -0.226444 -0.341264
1911:7:16:0 -0.525965 0.0550204 -0.33661 -0.38517
1911:8:16:0 -0.722327 0.524525 -0.397888 -0.785645
1911:9:16:0 -0.339511 0.907218 -0.538153 -0.524044
1911:10:16:0 -0.203274 0.590501 -0.489043 -0.254003
1911:11:16:0 0.346872 0.863638 -0.648686 0.239397
1911:12:16:0 0.127904 1.24843 -0.427476 -0.282572
1912:1:16:0 0.53144 0.994818 -0.648784 0.358423
1912:2:16:0 0.439677 0.679846 -0.473353 0.336431
1912:3:16:0 0.465623 0.40591 -0.403483 0.46441
1912:4:16:0 0.408594 0.500624 -0.26257 0.289567
1912:5:16:0 0.00784073 0.182415 -0.346599 0.089933
1912:6:16:0 -0.00938354 -0.00783901 -0.146607 0.0678396
1912:7:16:0 0.0425292 -0.528649 -0.0990634 0.356385
1912:8:16:0 -0.146159 -0.284052 -0.0655019 0.0286176
1912:9:16:0 -0.0192607 0.055292 -0.135871 0.0210287
1912:10:16:0 -0.119372 -0.151268 -0.123087 0.0178047
1912:11:16:0 0.0277564 -0.259863 -0.145424 0.2304
1912:12:16:0 -0.280698 -0.308697 -0.203155 -0.0247719
1913:1:16:0 -0.315639 0.106586 -0.340076 -0.198895
1913:2:16:0 0.181519 0.241245 -0.282378 0.202086
1913:3:16:0 0.160872 -0.240709 -0.393045 0.47775
1913:4:16:0 -0.342209 -1.1962 -0.255003 0.383394
1913:5:16:0 -0.166762 -0.514522 -0.422867 0.301933
1913:6:16:0 -0.278981 -0.0844357 -0.218951 -0.127288
1913:7:16:0 -0.330997 0.000970477 -0.28655 -0.188207
1913:8:16:0 -0.340952 0.33033 -0.33934 -0.336447
1913:9:16:0 0.0227581 0.295725 -0.492711 0.121251
1913:10:16:0 -0.149268 0.829697 -0.424078 -0.352078
1913:11:16:0 0.193777 0.680476 -0.319508 0.0132934
1913:12:16:0 0.18152 0.887301 -0.324805 -0.0997286
1914:1:16:0 0.0403645 0.687407 -0.395401 -0.105639
1914:2:16:0 0.359544 0.29471 -0.414817 0.419597
1914:3:16:0 0.155411 0.376139 -0.241709 0.0881957
1914:4:16:0 0.418676 -0.0900109 -0.0861948 0.506779
1914:5:16:0 0.209974 -0.277086 -0.0582077 0.377621
1914:6:16:0 0.0793552 -0.0240502 -0.369231 0.275996
1914:7:16:0 0.219089 0.406114 -0.457223 0.244643
1914:8:16:0 0.465124 0.717379 -0.541266 0.377067
1914:9:16:0 0.287282 0.926605 -0.387679 0.017819
1914:10:16:0 0.170313 0.7572 -0.45328 0.0183526
1914:11:16:0 0.158416 0.550086 -0.472764 0.119755
1914:12:16:0 0.309697 0.727854 -0.478987 0.185264
1915:1:16:0 0.46827 0.55532 -0.415161 0.39819
1915:2:16:0 0.493147 0.368615 -0.45867 0.538174
1915:3:16:0 0.436405 0.465504 -0.360323 0.383815
1915:4:16:0 0.318577 0.718742 -0.303543 0.110978
1915:5:16:0 0.374891 1.0345 -0.118847 -0.0829369
1915:6:16:0 0.615692 1.50048 -0.0380266 -0.115532
1915:7:16:0 0.215264 0.35252 0.198389 -0.06019
1915:8:16:0 0.145908 -0.00159577 0.263366 0.0150224
1915:9:16:0 0.21493 -0.100144 0.262289 0.133857
1915:10:16:0 0.295161 -0.259896 0.0786661 0.385777
1915:11:16:0 0.0110767 -0.445694 -0.0341272 0.250987
1915:12:16:0 0.101459 -0.608931 0.0821352 0.364856
1916:1:16:0 0.0750685 -0.421226 0.00733262 0.282015
1916:2:16:0 -0.169165 -0.903799 0.0116987 0.276885
1916:3:16:0 -0.0917628 -0.671665 0.0105612 0.238789
1916:4:16:0 -0.0147303 -0.643325 0.085715 0.264075
1916:5:16:0 0.220841 -0.86561 -0.0926905 0.699992
1916:6:16:0 0.0606206 -0.95676 -0.0952813 0.586641
1916:7:16:0 -0.558019 -1.51425 -0.0556836 0.22695
1916:8:16:0 -0.884608 -1.58122 0.210436 -0.199214
1916:9:16:0 -0.905354 -1.49455 0.191113 -0.253636
1916:10:16:0 -0.711988 -1.47418 0.165843 -0.0578208
1916:11:16:0 -0.988525 -1.58653 -0.0288677 -0.180825
1916:12:16:0 -0.827425 -1.04392 -0.0673157 -0.271808
1917:1:16:0 -0.80726 -0.919257 -0.116691 -0.289286
1917:2:16:0 -0.541798 -1.11574 -0.221874 0.127009
1917:3:16:0 -0.466681 -0.896727 -0.394053 0.178709
1917:4:16:0 -0.488789 -0.317484 -0.287255 -0.18642
1917:5:16:0 -0.598437 -0.160115 -0.444753 -0.296003
1917:6:16:0 -0.46072 -0.0890168 -0.316214 -0.258104
1917:7:16:0 -0.377116 0.451538 -0.232636 -0.486567
1917:8:16:0 -0.301869 0.211486 -0.0894741 -0.362875
1917:9:16:0 -0.347911 -0.0710798 0.00331395 -0.314028
1917:10:16:0 -0.198764 -0.355405 -0.093284 0.0255803
1917:11:16:0 -0.463465 -0.452215 -0.18377 -0.145473
1917:12:16:0 -0.504246 -0.89999 -0.253199 0.072348
1918:1:16:0 -0.513743 -0.706742 -0.308695 -0.00602448
1918:2:16:0 -0.50669 -0.535726 -0.424028 -0.0268129
1918:3:16:0 -0.465069 -0.268228 -0.276781 -0.192565
1918:4:16:0 -0.441085 0.119769 -0.345358 -0.328291
1918:5:16:0 -0.275163 0.62292 -0.347321 -0.412963
1918:6:16:0 0.110196 1.16873 -0.411762 -0.268286
1918:7:16:0 -0.11294 1.24315 -0.377704 -0.545665
1918:8:16:0 0.0512267 1.08009 -0.519532 -0.22905
1918:9:16:0 0.300575 1.10188 -0.586944 0.0431063
1918:10:16:0 0.513983 1.29522 -0.467645 0.100194
1918:11:16:0 0.524214 1.34046 -0.463925 0.085947
1918:12:16:0 0.49277 1.14572 -0.493403 0.166612
1919:1:16:0 0.756616 1.03829 -0.291927 0.383435
1919:2:16:0 0.586722 0.626324 -0.133275 0.340198
1919:3:16:0 0.630466 0.340127 -0.116811 0.518808
1919:4:16:0 0.518886 0.589595 -0.0808439 0.264511
1919:5:16:0 0.567791 0.886793 -0.112921 0.180856
1919:6:16:0 0.426036 0.804891 -0.110558 0.0788693
1919:7:16:0 0.165628 0.469154 -0.244224 0.0531629
1919:8:16:0 0.341591 0.316028 -0.28367 0.325412
1919:9:16:0 0.261469 0.513319 -0.228138 0.118878
1919:10:16:0 0.0169384 0.203154 -0.393607 0.112165
1919:11:16:0 -0.286958 -0.290523 -0.295699 0.00615239
1919:12:16:0 0.194563 0.186034 -0.231874 0.217483
1920:1:16:0 0.23449 0.702347 -0.408593 0.0876122
1920:2:16:0 0.215204 0.566953 -0.378644 0.12105
1920:3:16:0 0.280792 0.330933 -0.298983 0.264817
1920:4:16:0 -0.0519901 0.288691 -0.149653 -0.121509
1920:5:16:0 0.0631265 0.423085 0.0597534 -0.178293
1920:6:16:0 0.243431 -0.091096 -0.0552148 0.316586
1920:7:16:0 0.211398 -0.879354 -0.234931 0.76854
1920:8:16:0 0.148118 -0.26882 -0.143923 0.354489
1920:9:16:0 0.252328 -0.356858 -0.146915 0.504214
1920:10:16:0 0.570589 -0.707195 -0.168543 1.00846
1920:11:16:0 -0.0365193 -0.185961 -0.240516 0.176719
1920:12:16:0 -0.298053 -0.0103614 -0.194908 -0.195418
1921:1:16:0 0.00988064 -0.239927 -0.0672267 0.163457
1921:2:16:0 -0.389859 -0.213157 -0.107234 -0.229664
1921:3:16:0 -0.879882 -0.495425 -0.0672612 -0.598539
1921:4:16:0 -0.211727 -0.519714 -0.290517 0.193389
1921:5:16:0 -0.590584 -0.392051 -0.145241 -0.321938
1921:6:16:0 -0.342454 -0.366329 0.141181 -0.229881
1921:7:16:0 -0.186125 -0.288319 0.0118899 -0.0479102
1921:8:16:0 -0.0120439 -0.722016 -0.0742531 0.38609
1921:9:16:0 -0.113539 -0.770029 0.0197994 0.261576
1921:10:16:0 0.0228643 -0.273714 -0.0179973 0.16872
1921:11:16:0 -0.442474 -0.322361 -0.00573629 -0.278426
1921:12:16:0 -0.0119863 -0.541136 -0.0744091 0.295786
1922:1:16:0 -0.272703 -0.576182 -0.110904 0.0708408
1922:2:16:0 0.107501 0.17425 -0.34957 0.195161
1922:3:16:0 0.162311 -0.153299 -0.312253 0.395086
1922:4:16:0 -0.236313 -0.149372 -0.113963 -0.104645
1922:5:16:0 0.162658 -0.167697 -0.134737 0.313875
1922:6:16:0 -0.266119 -0.700599 -0.141898 0.155129
1922:7:16:0 -0.0147553 -0.804064 -0.174709 0.474631
1922:8:16:0 -0.179356 -1.00494 -0.418981 0.532607
1922:9:16:0 -0.136648 -0.967115 -0.419071 0.556445
1922:10:16:0 -0.203507 -0.569169 -0.156473 0.159314
1922:11:16:0 -0.0720794 -1.11949 0.0160643 0.479635
1922:12:16:0 -0.435215 -0.825756 -0.0361007 -0.00428697
1923:1:16:0 -0.14647 -0.230855 -0.0849021 0.0114083
1923:2:16:0 -0.247409 -0.157849 -0.160946 -0.0880118
1923:3:16:0 -0.193299 -0.536207 -0.294977 0.222293
1923:4:16:0 -0.0299629 0.0453944 -0.44195 0.168315
1923:5:16:0 -0.0594538 -0.172504 -0.346365 0.199981
1923:6:16:0 -0.0286716 0.283168 -0.219414 -0.0605484
1923:7:16:0 -0.178861 0.421746 -0.311533 -0.233968
1923:8:16:0 0.0753918 -0.109293 -0.51252 0.386298
1923:9:16:0 0.32513 0.112223 -0.686892 0.612464
1923:10:16:0 0.510553 0.0890256 -0.47181 0.701945
1923:11:16:0 0.612883 0.150099 -0.316178 0.695923
1923:12:16:0 0.431711 0.161337 -0.37973 0.540908
1924:1:16:0 0.168192 -0.537142 -0.345473 0.6095
1924:2:16:0 0.185576 -0.269178 -0.222873 0.431602
1924:3:16:0 0.339362 -0.617697 -0.234625 0.765523
1924:4:16:0 0.0766668 -0.496469 -0.0469378 0.34837
1924:5:16:0 -0.305546 -0.958284 0.145771 0.100711
1924:6:16:0 -0.0975632 -0.791734 0.0887066 0.25395
1924:7:16:0 -0.312203 -0.807296 0.105296 0.0387966
1924:8:16:0 -0.441323 -0.757237 0.032007 -0.0787081
1924:9:16:0 -0.452382 -0.808293 0.136576 -0.116523
1924:10:16:0 -0.410439 -0.515683 0.0950166 -0.200106
1924:11:16:0 -0.775092 -0.635894 0.0731581 -0.493724
1924:12:16:0 -0.390308 -0.720135 -0.241863 0.0906909
1925:1:16:0 -0.764959 -0.594576 0.0168418 -0.476092
1925:2:16:0 -0.581673 0.394033 -0.372578 -0.592401
1925:3:16:0 -0.477184 0.481155 -0.246469 -0.594527
1925:4:16:0 -0.29785 0.52613 -0.416331 -0.35275
1925:5:16:0 -0.263107 0.137545 -0.33196 -0.165899
1925:6:16:0 -0.439755 0.611047 -0.2727 -0.608929
1925:7:16:0 0.116556 0.754164 -0.30686 -0.107096
1925:8:16:0 0.298899 0.812398 -0.397715 0.0915578
1925:9:16:0 0.46622 0.700939 -0.404326 0.317913
1925:10:16:0 0.47621 0.71731 -0.428418 0.331765
1925:11:16:0 0.677734 0.765189 -0.430314 0.510297
1925:12:16:0 0.806738 1.09633 -0.246072 0.381607
1926:1:16:0 0.642873 1.19852 -0.417265 0.252247
1926:2:16:0 0.76529 0.765431 -0.0176369 0.391393
1926:3:16:0 0.735177 0.936944 -0.126629 0.33002
1926:4:16:0 0.500009 0.765961 0.130314 0.0518716
1926:5:16:0 0.642026 0.736915 0.169116 0.18901
1926:6:16:0 0.598016 0.404206 0.0165151 0.387655
1926:7:16:0 0.421243 0.609244 -0.122233 0.177737
1926:8:16:0 0.276213 0.000554126 0.144659 0.203606
1926:9:16:0 0.166961 -0.223487 0.139665 0.208873
1926:10:16:0 -0.138054 0.00508305 0.148854 -0.215023
1926:11:16:0 -0.185476 -0.11597 -0.169044 -0.0429694
1926:12:16:0 -0.0915309 0.166972 -0.0251332 -0.16245
1927:1:16:0 0.14653 0.18655 -0.102189 0.10435
1927:2:16:0 0.230281 0.528179 -0.138041 0.0352114
1927:3:16:0 -0.0880248 -0.0261144 0.0917164 -0.120826
1927:4:16:0 0.065252 -0.0407023 0.107709 0.0317487
1927:5:16:0 -0.333291 -0.173522 -0.115826 -0.188616
1927:6:16:0 0.021317 -0.156316 0.128955 0.0349978
1927:7:16:0 -0.0470294 -0.386262 -0.0254177 0.15881
1927:8:16:0 0.124566 -0.134813 -0.212308 0.298126
1927:9:16:0 0.00276408 0.017381 -0.258523 0.123335
1927:10:16:0 0.18229 -0.131311 -0.17169 0.333791
1927:11:16:0 -0.0124439 0.00678324 -0.0327652 0.000547096
1927:12:16:0 0.295957 -0.158748 -0.131407 0.441034
1928:1:16:0 0.430026 -0.0678319 0.102342 0.412771
1928:2:16:0 0.229599 -0.0676246 -0.0312368 0.279029
1928:3:16:0 0.103871 0.102125 -0.128838 0.117228
1928:4:16:0 0.146883 -0.172105 -0.0436321 0.254751
1928:5:16:0 0.232766 -0.103445 -0.1904 0.379689
1928:6:16:0 0.104987 -0.441715 -0.175513 0.413601
1928:7:16:0 0.0123286 -0.395752 -0.252659 0.336534
1928:8:16:0 0.00929227 -0.388326 -0.159995 0.283453
1928:9:16:0 0.0620967 -0.351145 -0.0759863 0.275662
1928:10:16:0 0.0285787 -0.436341 -0.0720542 0.282776
1928:11:16:0 0.0961437 -0.472417 -0.0485584 0.356632
1928:12:16:0 -0.153455 -0.522806 0.0819921 0.0669524
1929:1:16:0 -0.14762 -0.550464 -0.219385 0.237304
1929:2:16:0 -0.10273 -0.144797 -0.162988 0.0511625
1929:3:16:0 -0.0463019 -0.0102107 -0.093106 0.00535638
1929:4:16:0 1.68614e-05 0.450565 -0.33374 -0.0583956
1929:5:16:0 -0.102075 0.305171 -0.393698 -0.0578117
1929:6:16:0 0.0736266 0.326439 -0.378914 0.0998641
1929:7:16:0 0.164753 0.0488559 -0.542614 0.411632
1929:8:16:0 0.144643 0.0958941 -0.301984 0.247688
1929:9:16:0 0.18847 0.360865 -0.24568 0.130878
1929:10:16:0 0.278972 -0.0487779 -0.255129 0.430925
1929:11:16:0 0.26703 -0.0106228 -0.114278 0.329481
1929:12:16:0 0.500768 -0.0696103 -0.202249 0.636698
1930:1:16:0 0.497644 -0.411565 -0.401851 0.904352
1930:2:16:0 0.488768 -0.268865 -0.342362 0.794382
1930:3:16:0 0.443439 0.0369289 -0.456492 0.653221
1930:4:16:0 0.390571 0.429771 -0.502741 0.427055
1930:5:16:0 -0.0122901 0.187861 -0.453297 0.120428
1930:6:16:0 0.254373 0.4153 -0.409285 0.251366
1930:7:16:0 0.425831 0.737181 -0.42948 0.27198
1930:8:16:0 0.31976 0.964612 -0.160322 -0.0823857
1930:9:16:0 0.666998 1.05627 -0.445393 0.361558
1930:10:16:0 0.610813 1.45888 -0.0849405 -0.0761582
1930:11:16:0 0.960536 1.36807 -0.224001 0.388503
1930:12:16:0 0.647756 1.31577 -0.256991 0.118367
1931:1:16:0 0.762017 1.39831 -0.0611925 0.0934591
1931:2:16:0 0.920286 0.968784 -0.0362005 0.453995
1931:3:16:0 0.560103 1.03754 0.0940828 -0.00570679
1931:4:16:0 0.523675 0.921218 -0.137304 0.131718
1931:5:16:0 0.553035 0.24395 -0.0962953 0.479207
1931:6:16:0 0.577748 0.147936 0.108999 0.449281
1931:7:16:0 0.465133 0.420058 0.125046 0.192581
1931:8:16:0 0.394414 -0.116613 0.0567794 0.42433
1931:9:16:0 -0.0386897 -0.199443 0.178797 -0.0283667
1931:10:16:0 0.0126771 0.24297 -0.0812337 -0.068191
1931:11:16:0 0.0621605 -0.230105 -0.0481382 0.201282
1931:12:16:0 -0.152194 -0.182884 0.127635 -0.12457
1932:1:16:0 -0.222505 0.355985 -0.142536 -0.329229
1932:2:16:0 -0.124365 0.591868 -0.0114122 -0.414593
1932:3:16:0 0.163876 0.614098 -0.159278 -0.0635337
1932:4:16:0 -0.0159341 0.467043 -0.147476 -0.175718
1932:5:16:0 0.0582416 0.925939 -0.42026 -0.194598
1932:6:16:0 0.100649 0.919557 -0.261674 -0.228293
1932:7:16:0 -0.178157 0.542028 -0.344294 -0.277023
1932:8:16:0 0.0924451 0.49538 -0.388033 0.0387717
1932:9:16:0 0.10629 -0.0153815 -0.206996 0.217479
1932:10:16:0 0.130397 0.179116 -0.0794451 0.0805614
1932:11:16:0 0.0727418 -0.10716 -0.184935 0.218789
1932:12:16:0 -0.179413 -0.0920078 -0.249433 -0.00869249
1933:1:16:0 -0.0119375 -0.254642 -0.0186019 0.124685
1933:2:16:0 -0.124678 0.227317 -0.195718 -0.140477
1933:3:16:0 -0.0994764 0.055445 -0.0847154 -0.0848413
1933:4:16:0 0.00526317 0.0456009 0.0271349 -0.0311047
1933:5:16:0 -0.313187 -0.349577 0.0515482 -0.164173
1933:6:16:0 -0.547974 -0.255262 0.0482845 -0.444485
1933:7:16:0 -0.381253 -0.530291 -0.0574111 -0.0874023
1933:8:16:0 -0.58612 -0.393572 -0.0337119 -0.372479
1933:9:16:0 -0.654294 -0.440384 0.125206 -0.496704
1933:10:16:0 -0.928485 -0.521936 0.105449 -0.720241
1933:11:16:0 -0.653634 -0.355676 0.0640409 -0.507816
1933:12:16:0 -0.862875 -0.480067 0.0570187 -0.65135
1934:1:16:0 -0.731826 -0.173501 0.137607 -0.713879
1934:2:16:0 -0.658266 -0.383379 -0.0946368 -0.419258
1934:3:16:0 -0.693888 0.09948 -0.0907164 -0.69827
1934:4:16:0 -0.340481 0.274075 -0.151375 -0.401831
1934:5:16:0 -0.431745 -0.0240389 -0.315844 -0.261803
1934:6:16:0 -0.265455 0.283511 -0.181009 -0.316706
1934:7:16:0 -0.308292 -0.36694 -0.092158 -0.0787432
1934:8:16:0 -0.406903 0.285768 -0.00477637 -0.547399
1934:9:16:0 -0.339165 0.394352 -0.186018 -0.443332
1934:10:16:0 -0.235014 -0.117752 -0.0728537 -0.139711
1934:11:16:0 -0.123897 -0.195579 0.0371272 -0.0446709
1934:12:16:0 -0.226705 -0.563929 0.018406 0.046057
1935:1:16:0 -0.21879 -0.61708 -0.0752773 0.127388
1935:2:16:0 -0.0143725 -0.98353 0.145163 0.404811
1935:3:16:0 -0.164844 -0.195445 -0.0785754 -0.0278336
1935:4:16:0 -0.318977 0.226709 -0.0652933 -0.399685
1935:5:16:0 -0.403824 0.161161 -0.05706 -0.455874
1935:6:16:0 -0.20364 -0.285413 -0.166601 0.0223676
1935:7:16:0 -0.343233 -0.49661 -0.254272 0.0322083
1935:8:16:0 0.124363 0.144857 -0.0527062 0.078288
1935:9:16:0 0.111188 0.288918 -0.234871 0.0841643
1935:10:16:0 0.229779 0.0544736 -0.194074 0.29958
1935:11:16:0 0.208624 0.318644 -0.142859 0.120732
1935:12:16:0 -0.0234662 0.24645 -0.103717 -0.0948329
1936:1:16:0 0.31291 -0.108373 -0.158133 0.446163
1936:2:16:0 0.222673 0.271222 -0.00678842 0.0904563
1936:3:16:0 0.125561 0.035119 -0.0350111 0.125507
1936:4:16:0 0.312332 0.275998 -0.174573 0.261619
1936:5:16:0 0.40985 0.0906269 -0.284915 0.506994
1936:6:16:0 0.00356389 -0.22951 0.0108653 0.112886
1936:7:16:0 -0.0229426 0.172161 0.0419999 -0.130023
1936:8:16:0 -0.0726627 -0.1153 0.0980281 -0.0640268
1936:9:16:0 0.017578 0.231875 -0.0202493 -0.0882348
1936:10:16:0 0.306042 0.514937 0.0210631 0.0380422
1936:11:16:0 0.0197104 0.247321 0.0841903 -0.146045
1936:12:16:0 0.427997 0.162233 0.136107 0.278827
1937:1:16:0 -0.0835621 0.272832 -0.0337003 -0.203128
1937:2:16:0 0.313278 0.250251 -0.00656156 0.191433
1937:3:16:0 0.611763 -0.321915 -0.0633738 0.804407
1937:4:16:0 0.169949 0.10981 -0.0371897 0.133639
1937:5:16:0 -0.0588364 -0.533056 -0.00270061 0.209042
1937:6:16:0 -0.145933 -0.229422 0.166242 -0.114343
1937:7:16:0 0.246544 0.0841966 -0.0360003 0.222445
1937:8:16:0 0.0378398 -0.255753 -0.0846018 0.208017
1937:9:16:0 0.0916466 0.20607 -0.0269215 0.00207214
1937:10:16:0 0.0519395 -0.235322 0.00923225 0.164984
1937:11:16:0 0.267371 -0.344195 0.211286 0.333826
1937:12:16:0 -0.0240522 -0.235491 0.202208 -0.00741044
1938:1:16:0 -0.0563386 -0.438994 0.0248079 0.150754
1938:2:16:0 0.022252 -0.487201 0.039247 0.246229
1938:3:16:0 0.0796849 -0.41119 0.149324 0.210618
1938:4:16:0 -0.0665022 -0.840466 0.216634 0.245414
1938:5:16:0 -0.33161 -0.0974662 0.0828417 -0.324298
1938:6:16:0 -0.514311 -1.01357 0.00302174 -0.00903672
1938:7:16:0 -0.392177 -1.55645 0.255426 0.258336
1938:8:16:0 -0.487433 -0.746075 0.199037 -0.213914
1938:9:16:0 -0.0701499 -0.334463 0.0766488 0.0587572
1938:10:16:0 -0.580224 -0.143232 0.0794008 -0.548308
1938:11:16:0 -0.453205 -0.421699 0.168142 -0.326426
1938:12:16:0 -0.405298 -0.872327 -0.0861276 0.0739293
1939:1:16:0 -0.421836 -0.252566 -0.105059 -0.243024
1939:2:16:0 -0.552801 -0.2594 -0.180238 -0.332982
1939:3:16:0 -0.399343 -0.487588 -0.220002 -0.0455476
1939:4:16:0 -0.0742606 -0.210339 -0.0180619 0.0399396
1939:5:16:0 -0.0980711 0.163996 -0.143208 -0.108465
1939:6:16:0 -0.0751451 0.400742 -0.188203 -0.181415
1939:7:16:0 0.237784 0.106511 0.103329 0.132864
1939:8:16:0 -0.0354866 0.305512 0.00753113 -0.192008
1939:9:16:0 0.677355 -0.199344 -0.0700103 0.812033
1939:10:16:0 -0.416114 0.147279 -0.256085 -0.361711
1939:11:16:0 0.0896494 0.198653 -0.0819036 0.0312748
1939:12:16:0 0.311726 0.23395 0.0571517 0.166175
1940:1:16:0 0.622989 0.75426 -0.049661 0.27069
1940:2:16:0 0.733754 0.7574 -0.140967 0.425537
1940:3:16:0 0.718885 0.704387 -0.164517 0.44895
1940:4:16:0 0.526483 0.668162 -0.09664 0.240722
1940:5:16:0 0.422811 0.31301 -0.188971 0.360792
1940:6:16:0 0.645338 0.371159 -0.138444 0.52898
1940:7:16:0 0.49811 0.0906578 0.00313408 0.451214
1940:8:16:0 0.465568 0.496262 -0.232893 0.333883
1940:9:16:0 0.220894 0.36229 -0.0426888 0.0610937
1940:10:16:0 0.436581 0.379809 -0.0195287 0.256441
1940:11:16:0 0.673599 0.249714 0.000354945 0.548564
1940:12:16:0 0.884823 0.468668 -0.12449 0.712734
1941:1:16:0 0.847825 0.737569 -0.0660159 0.512048
1941:2:16:0 0.765311 0.965033 -0.0428574 0.304224
1941:3:16:0 0.992133 1.26279 -0.0201894 0.370832
1941:4:16:0 1.04757 1.2749 0.0328178 0.393706
1941:5:16:0 1.01817 1.15007 -0.105532 0.495898
1941:6:16:0 0.665657 0.436665 -0.116448 0.505548
1941:7:16:0 0.712664 0.289805 -0.187218 0.66137
