Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1878:1:16:0 1.14464 1.94194 0.00579367 0.170775
1878:2:16:0 1.17849 1.85397 -0.00694976 0.254984
1878:3:16:0 0.746612 0.915131 0.0229433 0.277575
1878:4:16:0 0.539652 0.760347 0.0731469 0.122905
1878:5:16:0 0.49773 0.557319 0.0462144 0.195963
1878:6:16:0 0.805025 0.54606 -0.0400523 0.552021
1878:7:16:0 0.287795 0.483865 0.109485 -0.00887921
1878:8:16:0 0.0233263 0.170129 0.154294 -0.138885
1878:9:16:0 -0.153562 -0.138033 0.185558 -0.177325
1878:10:16:0 -0.266149 -0.169183 0.146747 -0.254931
1878:11:16:0 -0.227992 -0.480743 0.222048 -0.0986444
1878:12:16:0 -0.23749 -0.184723 0.16382 -0.227038
1879:1:16:0 -0.0900369 -0.0866472 0.237787 -0.165607
1879:2:16:0 -0.100056 -0.104363 0.172404 -0.134076
1879:3:16:0 -0.071706 -0.220516 0.12411 -0.0235034
1879:4:16:0 -0.210079 -0.335966 0.0146491 -0.0494211
1879:5:16:0 -0.470662 -0.512217 0.198825 -0.313966
1879:6:16:0 -0.632405 -0.244223 0.325503 -0.673045
1879:7:16:0 -0.645404 -0.107661 0.317528 -0.750337
1879:8:16:0 -0.562045 -0.141115 0.19378 -0.588378
1879:9:16:0 -0.510185 -0.213672 0.222601 -0.514649
1879:10:16:0 -0.669743 -0.28233 0.0316815 -0.544419
1879:11:16:0 -0.751234 -0.455406 -0.0249931 -0.511034
1879:12:16:0 -0.551399 -0.256966 -0.228494 -0.308669
1880:1:16:0 -0.376077 -0.442403 -0.0864937 -0.111629
1880:2:16:0 -0.30126 -0.0955988 -0.0759941 -0.215464
1880:3:16:0 -0.33486 -0.354637 -0.0459611 -0.134561
1880:4:16:0 -0.335734 -0.314497 -0.125508 -0.115731
1880:5:16:0 -0.404199 -0.32611 -0.178459 -0.151914
1880:6:16:0 -0.46452 -0.477319 -0.268298 -0.091711
1880:7:16:0 -0.379283 -0.018875 -0.209808 -0.264942
1880:8:16:0 -0.385656 0.218185 -0.154174 -0.417662
1880:9:16:0 -0.259165 0.466026 -0.199146 -0.392605
1880:10:16:0 -0.0413838 0.537279 -0.169663 -0.225192
1880:11:16:0 0.134892 0.580773 -0.144188 -0.0834005
1880:12:16:0 0.213876 0.211295 -0.0698288 0.143143
1881:1:16:0 0.209322 0.127486 -0.0755091 0.183334
1881:2:16:0 0.172586 -0.060571 -0.0827697 0.244256
1881:3:16:0 0.311029 -0.0372168 0.0510227 0.304126
1881:4:16:0 0.46144 0.00699573 -0.0398312 0.477858
1881:5:16:0 0.389543 0.0949776 0.061149 0.31148
1881:6:16:0 0.281449 0.0852034 -0.0354282 0.256562
1881:7:16:0 -0.0693229 0.0500628 0.0500547 -0.119382
1881:8:16:0 0.0256448 -0.230015 -0.104478 0.192892
1881:9:16:0 -0.0957208 -0.216988 -0.0726071 0.0490769
1881:10:16:0 -0.151639 -0.0294908 -0.0205284 -0.12663
1881:11:16:0 -0.226507 -0.202685 -0.0813759 -0.0844766
1881:12:16:0 -0.148048 -0.350077 0.0165727 0.0187041
1882:1:16:0 -0.181754 -0.556448 0.0389531 0.0769934
1882:2:16:0 -0.297195 -0.587633 0.193922 -0.100339
1882:3:16:0 -0.194583 -0.525091 0.201415 -0.0327452
1882:4:16:0 0.165696 -0.175333 -0.0290207 0.267873
1882:5:16:0 0.146974 -0.279424 -0.0599466 0.316659
1882:6:16:0 0.00202363 -0.698807 -0.0675383 0.385196
1882:7:16:0 -0.102192 -0.799469 -0.136994 0.366039
1882:8:16:0 0.0537257 -0.786663 -0.11658 0.505348
1882:9:16:0 -0.291525 -0.401173 -0.112963 -0.0344577
1882:10:16:0 -0.289653 -0.293278 -0.079539 -0.103245
1882:11:16:0 -0.500293 -0.53483 0.0877071 -0.276732
1882:12:16:0 -0.432297 -0.644838 -0.0291502 -0.0953034
1883:1:16:0 -0.0973249 -0.798422 0.0667514 0.26851
1883:2:16:0 -0.0806646 -0.623372 0.072551 0.194746
1883:3:16:0 -0.118277 -0.607076 -0.0829225 0.226722
1883:4:16:0 -0.108137 -0.207108 -0.0889575 0.0398957
1883:5:16:0 -0.258924 -0.10373 -0.133466 -0.140327
1883:6:16:0 -0.143337 0.117033 -0.1306 -0.136554
1883:7:16:0 -0.0119192 -0.0764273 -0.104437 0.0785131
1883:8:16:0 -0.153884 -0.436338 -0.207598 0.168083
1883:9:16:0 -0.142299 -0.342873 -0.230835 0.144555
1883:10:16:0 -0.0831353 -0.0256648 -0.316544 0.0879691
1883:11:16:0 0.0209172 0.0941606 -0.296653 0.122163
1883:12:16:0 -0.0451074 -0.329341 -0.330411 0.284769
1884:1:16:0 0.0630286 -0.217401 -0.438751 0.391104
1884:2:16:0 0.136947 -0.216314 -0.484594 0.487401
1884:3:16:0 0.156981 0.326869 -0.358202 0.172648
1884:4:16:0 0.230471 0.521655 -0.35735 0.148318
1884:5:16:0 0.495932 0.417041 -0.507566 0.541194
