SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.94377,2.20343,2.04518,2.02911,2.05404,1.86108,1.76776,1.60737,1.43948,1.72004,1.02381,2.06187,2.2657,1.96671,1.92784,1.85799,1.82142,1.77882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.96625,0.18698,1.64258,1.51941,1.5004,1.55334,1.34798,1.25498,1.09421,0.92637,1.26918,0.58836,1.83412,2.0659,1.74058,1.70893,1.63946,1.59516,1.5613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.16405,-1.49743,-0.42395,1.20668,1.08186,1.07957,1.13266,0.90685,0.78011,0.62221,0.45992,0.81164,0.18032,1.49663,1.72409,1.41774,1.41277,1.36019,1.31502,1.28403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.63545,-1.42775,-1.68162,-0.63997,0.93352,0.82606,0.8366,0.88893,0.68105,0.56753,0.41876,0.2791,0.60925,0.02721,1.29677,1.57138,1.25912,1.27099,1.22189,1.17608,1.14502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.5388,-1.32661,-1.88951,-2.04241,-0.9688,0.66409,0.5598,0.57627,0.63191,0.41544,0.29767,0.14634,0.02043,0.35813,-0.20089,1.1183,1.43279,1.10484,1.12712,1.07498,1.0266,0.99455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.05324,-1.82453,-1.54625,-1.94433,-2.07009,-1.0984,0.51984,0.41576,0.43538,0.48864,0.275,0.15587,0.00872,-0.10801,0.23527,-0.29913,1.01032,1.32455,1.00033,1.02855,0.97898,0.9298,0.90067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.35832,-1.52825,-1.99195,-1.70521,-2.05436,-2.1217,-1.26991,0.35497,0.26153,0.28682,0.34028,0.13088,0.01362,-0.13125,-0.24449,0.10496,-0.41462,0.88563,1.20177,0.87914,0.91193,0.86415,0.8154,0.78962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.77475,-1.41923,-1.57129,-2.0149,-1.73979,-2.04098,-2.11759,-1.33102,0.24975,0.172,0.20031,0.25799,0.05453,-0.05935,-0.20497,-0.31495,0.03698,-0.46706,0.81734,1.14088,0.8267,0.86204,0.81624,0.76716,0.74412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.15449,-1.22741,-1.75303,-1.84783,-2.1245,-1.8776,-2.16496,-2.24441,-1.45391,0.12772,0.05528,0.08549,0.14586,-0.05865,-0.17623,-0.32285,-0.43183,-0.0722,-0.56151,0.73639,1.07118,0.75245,0.7909,0.74421,0.69382,0.6715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.29092,-0.9354,-1.1034,-1.59838,-1.77112,-2.06614,-1.84861,-2.10365,-2.19136,-1.46552,0.05541,-0.00756,0.02556,0.08988,-0.11105,-0.22667,-0.37225,-0.4802,-0.12229,-0.59164,0.6923,1.02311,0.70593,0.74628,0.70225,0.65426,0.6326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
