 Hurrell Station-Based Seasonal NAO Index
       DJF   JFM   FMA   MAM   AMJ   MJJ   JJA   JAS   ASO   SON   OND   NDJ
1919  -1.3  -1.6  -1.6  -0.0   1.9   0.7   1.6   0.3  -0.0  -1.4  -0.0   1.9
1920   2.9   3.4   2.0   2.6  -0.2   2.6   0.8   1.7   0.2   1.9  -0.0   1.0
1921   0.2   2.4   1.7   3.2   0.7   0.7  -0.7  -0.2  -0.5  -1.2   0.7   1.5
1922   3.0   2.0   2.0   0.9   2.2   3.3   3.3   2.5  -1.1  -1.7  -1.3   1.3
1923   1.7   1.2   0.8  -0.0   0.3   1.0   1.7   2.3   1.9   1.8   1.4   0.9
1924   0.3  -1.8  -3.4  -3.9  -1.7   0.5   1.6   2.4   1.8   1.4   2.3   2.3
1925   3.0   1.1   1.5   1.1   3.0   2.9   2.4   1.7  -0.7  -2.2  -4.0  -2.7
1926  -1.5   0.5   0.7   0.0  -1.0  -1.4  -0.2   0.2  -2.1  -0.6  -0.7   1.7
1927   0.8   2.0   1.6   1.0  -0.7  -1.6  -0.1  -0.1  -2.1  -1.6  -3.1   0.4
1928   1.1   2.0   0.8  -1.6  -2.6  -3.1  -1.9  -0.9   0.2   1.9   2.1  -1.5
1929  -2.2  -3.0  -2.1  -1.6  -1.1   0.9  -0.4   0.8   2.0   3.0   3.3   3.0
1930   1.8   0.1  -0.8   0.1   2.5   2.9   1.4  -1.9  -1.0  -0.2   2.0   1.5
1931   2.0  -0.7  -0.3  -2.3  -0.5  -0.6  -1.1  -0.9  -2.1   0.4   0.9   1.8
1932  -1.4  -2.0  -2.7  -1.2  -0.9  -0.9   0.8   1.7   1.9   1.6   1.1   1.2
1933  -0.3  -0.0  -1.7  -0.3  -0.1   2.3   3.1   1.6  -0.9  -1.2  -1.1   0.9
1934   1.0   2.2   0.9   1.7  -0.9   0.8   0.2   2.7   2.6   1.2  -0.5  -0.8
1935   0.7   1.2   0.8  -1.6  -1.9   1.0   3.2   2.9   3.3   3.5   1.5  -2.0
1936  -3.9  -3.5  -2.6  -0.9   0.1   1.2   1.8   0.1   1.3   1.8   2.8   1.9
1937   0.9  -0.5  -0.7  -0.3   1.3   0.8   0.4   1.6   0.8  -1.9  -2.5  -0.6
1938   0.2   1.8   0.0   1.2  -0.2   2.3   2.3   2.5   3.8   4.4   3.2   0.0
1939   0.5   0.4   1.7   0.4  -0.3  -0.3   0.1  -2.1  -1.9  -1.0  -0.5  -1.8
1940  -3.4  -3.2  -2.5  -1.4   0.4   0.9   1.5   0.5   0.2   1.0   0.6  -1.2
1941  -2.2  -2.5  -1.7  -1.4  -0.8   1.1   1.0   0.2  -1.3  -1.3  -0.1   1.4
1942  -0.3  -1.6  -3.1  -1.7  -1.3  -0.5   0.5   2.8   2.4   0.5  -0.2  -1.0
1943   1.3   1.5   3.5   2.5   3.0   0.9  -0.2   0.9   1.2   2.7   1.8   2.0
1944   1.0  -0.4  -1.3  -1.3  -0.1  -1.0  -0.7   0.2   2.5   2.0   1.8  -0.5
1945   0.8   0.5   1.2  -0.7  -1.6   0.2   1.0   1.1  -0.5  -3.0  -3.6  -1.5
1946  -0.2   0.7   1.1   0.7   2.0   0.9   3.5   2.8  -0.4  -1.6  -0.8   0.3
1947  -1.8  -3.7  -3.1  -0.5   2.2   0.2   0.2   1.6   0.9  -0.3  -2.3  -1.5
1948  -0.8   1.1   1.5   2.2   0.8  -0.7  -0.6  -0.3   1.0  -0.2  -0.5  -0.5
1949   1.3   1.4   2.1   1.1   0.8  -1.4  -1.9  -1.5  -0.8   0.8   1.1   1.0
1950   1.0   0.8   1.6  -0.0  -0.1  -1.4   0.7   2.5   2.8   1.6  -0.3  -0.1
1951   0.9   0.3  -0.9  -3.1  -3.5  -2.7  -0.5   1.1   2.0   0.9   2.0   2.5
1952   1.5  -0.6  -1.2  -1.3   0.3  -1.0  -0.0  -1.1  -1.3  -2.2  -1.5  -2.0
1953  -0.7  -0.0  -0.3  -1.4  -1.8   0.9   2.8   2.8   2.6   3.0   2.4   1.7
1954   1.5   1.3   1.8   0.3   0.4   1.0   2.0   2.7   1.8   3.0   2.5   0.5
1955  -1.7  -3.4  -2.6  -1.5   0.4   0.5   1.2   3.5   1.4  -1.4  -2.7  -2.3
1956  -2.0  -1.3  -1.7   1.6   2.0   3.1  -0.5  -1.4  -0.2   1.4   2.2   2.8
1957   1.2  -0.4  -1.3  -0.7  -0.5  -2.3  -2.2  -1.6   1.1  -0.7   0.9  -0.6
1958  -1.1  -2.8  -2.4  -1.4  -0.2  -2.4  -2.4  -2.0   0.3   1.7   1.1  -1.6
1959  -1.2  -0.0   2.3   1.5   1.0   1.3   1.5   0.6   0.9   1.6   2.4   0.3
1960  -2.2  -3.2  -2.1   0.2   1.3   1.1  -0.6  -0.0  -2.6  -0.8   0.2   1.9
1961   2.0   1.1   0.3  -0.9   0.0   1.2   2.7   2.1   2.8   1.8  -1.9  -1.0
1962  -0.2  -0.4  -1.6  -3.1  -0.0  -1.4  -0.9  -1.0   0.1  -0.5  -0.9  -3.9
1963  -4.0  -2.9  -0.7   2.3   1.3   1.3  -1.9   0.4   2.5   1.2  -1.1  -2.8
1964  -2.8  -2.2  -1.3   0.3   1.6   1.7  -0.8  -1.2  -0.8   0.7   0.8   0.1
1965  -2.2  -2.7  -1.9   0.4   2.3  -0.3   0.5  -0.3  -0.3  -1.7  -0.9  -2.7
1966  -3.1  -3.0  -1.9   0.7   0.9   2.2  -0.6  -1.9  -4.0  -2.0  -0.1   0.3
1967   0.8   1.0   2.5   1.9   1.2   0.7   1.1   0.0   1.5   2.0   0.9   0.3
1968  -1.1   0.1  -0.9  -0.0  -1.6  -2.0  -2.1  -2.8  -3.0  -3.6  -3.1  -3.6
1969  -4.3  -4.7  -3.0  -1.7   0.4  -0.2   0.3   1.4   1.0   0.7   0.7  -1.4
1970  -0.3  -1.5   0.4   0.4   2.0   1.4  -0.1  -0.2  -0.5  -0.2  -1.1  -1.5
1971  -0.8   0.0   0.1   0.2  -0.9  -0.4  -0.9  -0.9  -0.3  -0.2   0.9   1.2
1972   0.9   1.1   1.5   2.6   3.9   3.1   1.6  -2.1  -2.4  -1.3   1.0   1.7
1973   2.4   1.9   0.8  -1.4  -1.8   0.7   1.7   0.4  -0.6  -1.6  -1.1   0.8
