SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.94916,2.0449,1.83345,1.86969,1.88599,1.67075,1.50786,1.32073,1.2179,1.55556,1.04648,1.925,2.02529,1.84244,1.75654,1.79091,1.77547,1.69758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.60298,0.43223,1.5611,1.38857,1.40882,1.44939,1.25763,1.13545,0.95574,0.85739,1.22936,0.71726,1.65236,1.8356,1.62504,1.54559,1.5995,1.58699,1.52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.94371,-1.14542,-0.05729,1.18956,1.04491,1.0699,1.11519,0.91964,0.79063,0.61353,0.51065,0.88847,0.39117,1.3864,1.55887,1.34958,1.29505,1.36174,1.34939,1.29053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.63221,-1.18273,-1.31092,-0.26273,0.95664,0.8411,0.8748,0.92188,0.73225,0.61123,0.43458,0.33766,0.71474,0.2443,1.21974,1.43798,1.22618,1.17757,1.24836,1.23598,1.17829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.83802,-1.35448,-1.58989,-1.64787,-0.54424,0.74699,0.6393,0.67608,0.72699,0.52572,0.39804,0.21423,0.12328,0.52161,0.05304,1.07305,1.32585,1.11044,1.06232,1.13813,1.12559,1.06423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.21656,-1.02693,-1.12505,-1.45961,-1.55209,-0.54469,0.7369,0.63057,0.66787,0.7152,0.51388,0.38894,0.20524,0.11715,0.51558,0.06031,1.07017,1.31384,1.10442,1.05904,1.13368,1.12066,1.06085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.55649,-0.9373,-1.59086,-1.56199,-1.75508,-1.79625,-0.82326,0.54298,0.44418,0.48684,0.53702,0.32505,0.19744,0.0129,-0.07367,0.34459,-0.10601,0.92848,1.18934,0.9765,0.93362,1.01022,0.99681,0.93515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.02126,-1.6447,-1.25395,-1.73817,-1.7126,-1.83901,-1.88685,-0.95264,0.39471,0.31193,0.35831,0.40966,0.20078,0.07565,-0.10535,-0.18683,0.23557,-0.20416,0.82634,1.11244,0.90149,0.86126,0.93764,0.92348,0.86299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.25458,-1.41092,-1.91411,-1.54406,-1.95092,-1.8897,-1.98191,-2.06804,-1.07993,0.30358,0.2196,0.27043,0.32337,0.11079,-0.01618,-0.19834,-0.27955,0.15625,-0.28281,0.77167,1.06683,0.85032,0.81075,0.88875,0.87403,0.81301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.67636,-0.02201,-0.6334,-1.32227,-1.06395,-1.58252,-1.59437,-1.72686,-1.82241,-0.94887,0.35972,0.2772,0.33042,0.38242,0.17822,0.05904,-0.11926,-0.20226,0.22255,-0.20948,0.81625,1.10278,0.8932,0.85428,0.93085,0.91662,0.85574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.529,0.63338,0.22916,-0.25767,-0.85262,-0.71476,-1.18522,-1.333,-1.54309,-1.6588,-0.84042,0.3943,0.30967,0.36526,0.41813,0.22815,0.11618,-0.05363,-0.13596,0.26235,-0.14993,0.82216,1.09779,0.89498,0.85915,0.93484,0.92052,0.86121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.16638,1.12277,1.17585,0.99392,0.68806,0.22289,0.19525,-0.23231,-0.44597,-0.84429,-1.06875,-0.33845,0.70096,0.61497,0.65304,0.69445,0.51972,0.4225,0.2671,0.18794,0.54149,0.14833,1.02641,1.26572,1.09075,1.05601,1.12595,1.11314,1.05589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.65041,-0.65608,-0.51395,-0.39175,-0.52107,-0.70007,-0.97007,-0.93101,-1.18454,-1.27837,-1.41596,-1.54922,-1.02,-0.05757,-0.12838,-0.06666,-0.02727,-0.17918,-0.26901,-0.40845,-0.45941,-0.1004,-0.43816,0.46841,0.76251,0.58635,0.55506,0.63749,0.62208,0.57018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.69265,0.1759,0.60508,0.63733,0.68731,0.58846,0.42815,0.212,0.20407,-0.04033,-0.25038,-0.56441,-0.7343,-0.28188,0.58836,0.51102,0.55484,0.59308,0.4434,0.36171,0.22329,0.16162,0.47599,0.12995,0.93858,1.16401,1.00766,0.97706,1.0482,1.03649,0.98471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.42851,2.0299,0.81664,1.11443,1.11827,1.15819,1.08167,0.94565,0.75743,0.74347,0.52177,0.29846,-0.05587,-0.25967,0.16693,0.92556,0.84841,0.88225,0.91478,0.77613,0.70129,0.57832,0.51259,0.78704,0.46623,1.16146,1.35373,1.21269,1.18333,1.2453,1.2364,1.19151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.33142,1.2704,1.82798,0.81477,1.07347,1.08676,1.12691,1.06027,0.9363,0.76626,0.74965,0.54428,0.33289,0.00386,-0.19958,0.19847,0.9296,0.85541,0.88906,0.92076,0.78434,0.70997,0.59255,0.52669,0.79967,0.48564,1.17213,1.35638,1.21961,1.19213,1.25216,1.24369,1.20039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.69428,-0.09222,1.03012,1.70903,0.67616,0.96634,0.99096,1.03154,0.9621,0.83084,0.65414,0.63704,0.4324,0.22161,-0.09694,-0.28938,0.10649,0.86378,0.7889,0.82421,0.85757,0.71594,0.63612,0.51462,0.44957,0.73058,0.4168,1.1217,1.31637,1.17658,1.14894,1.21035,1.20179,1.15752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01021,-0.60984,-0.17905,0.92288,1.70594,0.63579,0.92872,0.95333,0.9967,0.92445,0.79205,0.61556,0.59588,0.39464,0.19228,-0.11409,-0.30277,0.09409,0.84432,0.77197,0.80691,0.8391,0.69896,0.6201,0.4988,0.43343,0.716,0.40718,1.10858,1.29366,1.16021,1.13365,1.19275,1.18407,1.14008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.37103,-0.96003,-1.21284,-0.7101,0.54765,1.5347,0.44351,0.77067,0.80884,0.85559,0.7807,0.63983,0.45811,0.44002,0.23569,0.03855,-0.25823,-0.44154,-0.04177,0.72588,0.65577,0.69079,0.72367,0.58184,0.50115,0.37722,0.31373,0.60303,0.29573,1.01514,1.20238,1.0703,1.04455,1.10426,1.09504,1.04975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.49746,-0.59295,-0.50092,-0.7967,-0.47493,0.59629,1.51307,0.47726,0.80405,0.8461,0.88909,0.81902,0.68328,0.5081,0.48818,0.29423,0.10706,-0.1922,-0.37763,0.01861,0.77138,0.70203,0.73528,0.76713,0.62833,0.55028,0.42903,0.3657,0.64919,0.34235,1.04254,1.2218,1.09788,1.07573,1.13342,1.12365,1.07801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.70926,1.25517,0.19779,0.12833,-0.25095,-0.08067,0.85158,1.65378,0.65603,0.96002,0.98509,1.024,0.95655,0.82365,0.65361,0.63197,0.44327,0.25481,-0.05319,-0.24846,0.14246,0.87735,0.8073,0.83882,0.87064,0.73316,0.6534,0.53434,0.47043,0.74638,0.44171,1.12296,1.29565,1.17387,1.15236,1.2079,1.19847,1.15295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.89194,1.52069,1.35812,0.63336,0.48776,0.15093,0.18321,0.97739,1.7381,0.74883,1.04361,1.0606,1.09977,1.0337,0.9036,0.73977,0.71861,0.5311,0.34961,0.04599,-0.14872,0.2291,0.9415,0.87277,0.90377,0.93468,0.7999,0.72127,0.60602,0.54073,0.80846,0.51059,1.16758,1.33414,1.21848,1.19746,1.25063,1.24178,1.19655,NA,NA,NA,NA,NA,NA,NA,NA,NA
