SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.23182,1.71414,1.56835,1.65947,1.8192,1.5294,1.4257,1.17725,1.29177,1.95647,1.53679,2.10843,2.31713,2.09048,2.00274,1.86412,1.84034,1.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.46043,0.09711,0.74782,0.68029,0.80181,1.01029,0.71222,0.60737,0.36838,0.52123,1.32085,0.85741,1.5212,1.9001,1.60304,1.54011,1.41941,1.37681,1.49084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.28595,-1.71487,-0.54017,0.19731,0.14562,0.29922,0.53304,0.20416,0.0923,-0.14399,0.01121,0.95295,0.43429,1.27195,1.69794,1.36101,1.30427,1.18051,1.12704,1.26234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.27911,-1.8072,-2.02491,-0.88299,-0.14132,-0.17676,-0.0405,0.17273,-0.12484,-0.2219,-0.43932,-0.27799,0.61895,0.14852,0.97192,1.42912,1.10814,1.0647,0.94235,0.88485,1.02088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.76328,-1.84487,-2.07924,-2.25701,-1.26837,-0.50671,-0.52627,-0.38499,-0.17134,-0.45797,-0.5521,-0.75898,-0.59119,0.32412,-0.13076,0.72105,1.2214,0.8915,0.84992,0.72337,0.66521,0.80687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22556,-1.47068,-1.74863,-2.01648,-2.24235,-1.3065,-0.54131,-0.55841,-0.42178,-0.21178,-0.49629,-0.58753,-0.79225,-0.62885,0.28316,-0.16494,0.69063,1.18341,0.85752,0.81808,0.69252,0.6347,0.77513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05347,0.48353,-0.82161,-1.31618,-1.74164,-2.03711,-1.15737,-0.41605,-0.43357,-0.29934,-0.09408,-0.37847,-0.46991,-0.67536,-0.51394,0.39022,-0.05923,0.77948,1.25198,0.93144,0.89153,0.76592,0.70855,0.84542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.92185,-0.11977,-0.2132,-1.10937,-1.47876,-1.8258,-2.08107,-1.27869,-0.54898,-0.55974,-0.42753,-0.22098,-0.50185,-0.59164,-0.79074,-0.63478,0.26856,-0.178,0.68248,1.17711,0.85262,0.81234,0.68916,0.63183,0.77125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.69824,-1.58575,-0.80855,-0.79773,-1.46294,-1.69767,-1.95852,-2.21915,-1.46164,-0.72285,-0.72824,-0.59804,-0.39148,-0.66748,-0.75786,-0.94882,-0.79709,0.11957,-0.32377,0.56491,1.08226,0.7481,0.70832,0.5837,0.52597,0.6693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.72741,-1.47963,-1.79077,-1.0837,-1.05313,-1.68106,-1.8161,-2.0087,-2.22208,-1.53001,-0.84645,-0.8452,-0.72475,-0.52776,-0.78681,-0.87458,-1.05358,-0.90859,-0.0101,-0.43239,0.46016,0.98237,0.65375,0.61756,0.49602,0.44044,0.57907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
