SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.01003,1.17654,0.74603,0.98124,1.04415,0.7344,0.49859,0.22915,0.0263,1.03043,0.47712,1.18319,0.88239,0.78312,0.63434,0.72841,0.67922,0.67182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.63567,0.30715,1.11517,0.81023,0.99351,1.04565,0.80841,0.62797,0.41654,0.24195,1.07428,0.60099,1.19139,0.9362,0.83741,0.70617,0.78396,0.74055,0.73411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.66718,-0.02497,-0.11191,0.75269,0.47344,0.66026,0.71588,0.46766,0.29367,0.09579,-0.0961,0.75501,0.29923,0.94221,0.68699,0.60938,0.49454,0.57472,0.52701,0.52337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.86201,-1.10639,-0.4513,-0.46984,0.45524,0.1816,0.38652,0.44679,0.19472,0.03346,-0.17222,-0.35069,0.50806,0.07287,0.72216,0.4764,0.41762,0.30677,0.39062,0.3378,0.33785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.81689,-1.55977,-1.5739,-0.98768,-0.88766,0.08632,-0.19512,0.04189,0.09999,-0.16311,-0.32152,-0.52778,-0.69261,0.21593,-0.21004,0.48804,0.23558,0.19344,0.08683,0.17704,0.1202,0.11974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.09445,-1.31944,-1.4107,-1.497,-0.97515,-0.88498,0.08799,-0.18974,0.0431,0.10047,-0.16035,-0.31665,-0.52121,-0.68687,0.22092,-0.20441,0.48708,0.23499,0.19148,0.08338,0.17492,0.11663,0.11569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.43999,-0.95797,-1.70947,-1.69588,-1.76652,-1.2816,-1.17218,-0.15314,-0.43055,-0.1776,-0.12106,-0.3939,-0.55396,-0.76438,-0.92142,0.03562,-0.38985,0.33238,0.05461,0.02457,-0.08202,0.01243,-0.05007,-0.04842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.89741,-1.55242,-1.25573,-1.87643,-1.84647,-1.90788,-1.43829,-1.2852,-0.30266,-0.56225,-0.30425,-0.2485,-0.52522,-0.68791,-0.89782,-1.04241,-0.06878,-0.49444,0.23695,-0.03668,-0.06027,-0.17132,-0.0752,-0.14088,-0.13806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.56802,-1.03602,-1.60341,-1.36354,-2.01988,-1.97472,-1.97935,-1.53639,-1.38465,-0.3851,-0.64537,-0.38124,-0.32746,-0.60744,-0.76719,-0.97286,-1.11041,-0.13833,-0.5535,0.17866,-0.09462,-0.11835,-0.22945,-0.13403,-0.19948,-0.19463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5329,1.00627,0.39918,-0.31898,-0.2814,-1.15128,-1.35751,-1.49014,-1.06083,-0.99568,-0.06829,-0.31204,-0.07267,-0.0234,-0.27933,-0.43313,-0.62864,-0.77682,0.11325,-0.30304,0.38338,0.1322,0.09572,-0.00938,0.0806,0.02139,0.02404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3671,1.06555,0.79328,0.37178,-0.19713,-0.18187,-0.89524,-1.20412,-1.3795,-0.98462,-0.94998,-0.07237,-0.30138,-0.07042,-0.01827,-0.2591,-0.40842,-0.59471,-0.74131,0.12404,-0.26535,0.3985,0.15783,0.12679,0.02648,0.11578,0.05537,0.05647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.41163,1.32563,1.59672,1.48937,1.31051,0.96723,0.93586,0.37934,-0.12077,-0.47507,-0.18474,-0.21139,0.51566,0.30065,0.47411,0.51869,0.30523,0.18095,0.01066,-0.14059,0.61771,0.23744,0.78594,0.5721,0.52667,0.42507,0.50381,0.45632,0.45223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.15581,-0.70087,-0.56692,-0.07541,-0.17565,-0.3904,-0.73589,-0.71412,-1.14467,-1.31812,-1.42284,-1.17871,-1.19886,-0.45414,-0.64847,-0.44595,-0.40204,-0.60256,-0.71133,-0.87013,-0.9869,-0.20043,-0.53054,0.0802,-0.14201,-0.14611,-0.25444,-0.15831,-0.21895,-0.21515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.87148,0.27876,0.94698,0.93532,1.16976,1.12074,0.99404,0.76209,0.74797,0.40299,0.01154,-0.28118,-0.03009,-0.07809,0.50608,0.32263,0.46772,0.50863,0.33864,0.24164,0.10345,-0.0133,0.62965,0.30932,0.7864,0.60391,0.58549,0.48443,0.55594,0.5112,0.5086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.6605,2.30148,1.15534,1.54543,1.48895,1.63869,1.61766,1.51703,1.36586,1.34227,1.07576,0.7471,0.43351,0.60018,0.56597,1.02268,0.84778,0.9601,0.99712,0.84547,0.75815,0.63756,0.53481,1.07572,0.78512,1.17121,1.00782,0.98061,0.87762,0.93581,0.9022,0.89646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02321,1.34194,2.00781,1.06907,1.44953,1.4084,1.54763,1.5223,1.42738,1.2913,1.27512,1.01946,0.70716,0.4071,0.56192,0.53197,0.99563,0.82208,0.93302,0.96979,0.82022,0.72818,0.60633,0.50425,1.05533,0.76175,1.15657,0.98754,0.9648,0.86067,0.91772,0.88524,0.88093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.49224,-0.77944,0.88399,1.83947,0.76869,1.25255,1.22758,1.39463,1.36206,1.25323,1.09585,1.07979,0.79887,0.46649,0.16554,0.35235,0.32697,0.83133,0.66159,0.77987,0.81778,0.66046,0.55934,0.43134,0.32796,0.90459,0.59724,1.02767,0.86026,0.84071,0.73468,0.79476,0.75967,0.75725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.45083,-1.45559,-0.8988,0.71765,1.77852,0.68285,1.17553,1.15242,1.3258,1.29101,1.18597,1.02506,1.00959,0.73233,0.4047,0.10832,0.29643,0.27105,0.78224,0.61374,0.73585,0.77261,0.61287,0.50691,0.3778,0.27282,0.8601,0.54996,0.98923,0.82484,0.8026,0.69908,0.75956,0.72153,0.71962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.07331,-1.05865,-1.64616,-1.17517,0.4479,1.67044,0.5227,1.0721,1.05314,1.24117,1.2025,1.0939,0.92208,0.9051,0.61281,0.27418,-0.02762,0.1742,0.13173,0.67536,0.50461,0.63189,0.66795,0.50239,0.38964,0.25626,0.14866,0.76112,0.44242,0.90511,0.74172,0.72096,0.61826,0.68167,0.64024,0.63968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.39399,-0.45059,-0.64819,-1.34646,-1.03026,0.51299,1.68631,0.56152,1.09716,1.08413,1.26424,1.22965,1.12611,0.96223,0.94649,0.65858,0.3358,0.01862,0.22147,0.18707,0.72572,0.5523,0.67736,0.71339,0.5494,0.43557,0.30098,0.19444,0.80921,0.4873,0.95194,0.78623,0.76965,0.66633,0.7297,0.68805,0.68468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.47823,1.16433,0.40214,0.12436,-0.72181,-0.61475,0.78259,1.81444,0.77301,1.25089,1.21743,1.38024,1.34873,1.24787,1.09648,1.0796,0.81151,0.50292,0.1831,0.36988,0.33935,0.84933,0.67702,0.79567,0.8325,0.67328,0.56199,0.43215,0.32569,0.921,0.60925,1.05318,0.89002,0.86983,0.76688,0.82742,0.78831,0.78329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.22614,1.59988,1.47153,0.91685,0.69957,-0.06564,-0.16423,1.01609,1.9047,0.94635,1.38774,1.332,1.47846,1.44963,1.34842,1.20599,1.18911,0.93956,0.64934,0.3456,0.50709,0.48691,0.96286,0.79348,0.90592,0.94228,0.79072,0.6883,0.5677,0.46519,1.02734,0.73578,1.15012,0.99147,0.97615,0.87373,0.92948,0.89282,0.88406,NA,NA,NA,NA,NA,NA,NA,NA,NA
