SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.25552,1.64234,1.45894,1.5115,1.77903,1.38411,1.28491,0.98583,1.07504,1.92462,1.4368,1.87083,2.26898,2.0512,1.90313,1.76605,1.72379,1.83601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.26676,0.24209,0.77507,0.66989,0.74295,1.06871,0.69409,0.58963,0.31316,0.42096,1.41534,0.89074,1.37391,1.97856,1.67779,1.54623,1.41281,1.35258,1.49556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.43748,-1.68422,-0.5289,0.06463,0.00639,0.10232,0.43893,0.07751,-0.0248,-0.27112,-0.17903,0.92644,0.39364,0.94137,1.6817,1.33783,1.22486,1.08387,1.01553,1.18652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.26021,-1.81113,-1.8925,-0.88851,-0.36765,-0.38821,-0.31305,-0.01979,-0.32528,-0.40893,-0.62205,-0.5267,0.51309,0.04687,0.56374,1.33831,1.00354,0.91583,0.77271,0.70467,0.88282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.67813,-1.7378,-2.0693,-2.07975,-1.17906,-0.6649,-0.68141,-0.6066,-0.32133,-0.60275,-0.68447,-0.88281,-0.78516,0.2482,-0.19252,0.31986,1.12417,0.79044,0.70514,0.55457,0.48571,0.67451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.63478,-1.54223,-1.81834,-2.06492,-2.08113,-1.26528,-0.75916,-0.77021,-0.69744,-0.42215,-0.69389,-0.7731,-0.96293,-0.87196,0.15073,-0.27975,0.23517,1.04065,0.70934,0.6265,0.47884,0.41038,0.59919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.241,0.4291,-0.67003,-1.2872,-1.75489,-1.89062,-1.0773,-0.58663,-0.59921,-0.52995,-0.25623,-0.53374,-0.61151,-0.80209,-0.71388,0.29581,-0.13661,0.3722,1.15982,0.82682,0.74206,0.59418,0.52466,0.70933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08335,0.78135,0.26902,-0.6073,-1.18198,-1.64012,-1.82981,-1.05026,-0.57592,-0.58469,-0.5155,-0.24386,-0.52352,-0.60182,-0.79207,-0.70394,0.29523,-0.13717,0.37117,1.15884,0.82999,0.74456,0.60132,0.53297,0.71496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.35908,-0.67515,0.0775,-0.23129,-0.97206,-1.39105,-1.76073,-1.95593,-1.19754,-0.71862,-0.72355,-0.65734,-0.39106,-0.66116,-0.73956,-0.92334,-0.84101,0.1517,-0.26716,0.24931,1.05091,0.71926,0.63612,0.49272,0.42533,0.61057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.9191,-1.41079,-1.0829,-0.36059,-0.57011,-1.24128,-1.56056,-1.85217,-2.01359,-1.31309,-0.85421,-0.85123,-0.78957,-0.533,-0.78936,-0.86674,-1.0437,-0.96447,0.00881,-0.38738,0.12593,0.91943,0.59616,0.51865,0.38236,0.3179,0.49934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
