"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"NA","Data for this day has undergone only preliminary quality checking"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (degC)","Max Temp Flag","Min Temp (degC)","Min Temp Flag","Mean Temp (degC)","Mean Temp Flag","Heat Deg Days (degC)","Heat Deg Days Flag","Cool Deg Days (degC)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2009-02-21","2009","02","21","NA","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"2009-02-22","2009","02","22","NA","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"2009-02-23","2009","02","23","NA","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"2009-02-24","2009","02","24","NA","","","","","","","","","","","0.0","","5.0","","5.0","","60","","","","",""
"2009-02-25","2009","02","25","NA","","","","","","","","","","","0.0","","0.1","","0.1","","65","","","","",""
"2009-02-26","2009","02","26","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-02-27","2009","02","27","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-02-28","2009","02","28","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-01","2009","03","01","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-02","2009","03","02","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-03","2009","03","03","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-04","2009","03","04","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
"2009-03-05","2009","03","05","NA","","","","","","","","","","","0.0","","0.0","","0.0","","65","","","","",""
