"Station Name","REGINA GILMOUR"
"Province","SASKATCHEWAN"
"Latitude","50.57"
"Longitude","-104.83"
"Elevation","556.30"
"Climate Identifier","4016651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-02","2013","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-03","2013","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-04","2013","01","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-05","2013","01","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-06","2013","01","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-07","2013","01","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-08","2013","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-09","2013","01","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"2013-01-10","2013","01","10","†","","","","","","","","","","","","","","","","","53","","","","",""
"2013-01-11","2013","01","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"2013-01-12","2013","01","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","70","","","","",""
"2013-01-13","2013","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","70","","","","",""
"2013-01-14","2013","01","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","70","","","","",""
"2013-01-15","2013","01","15","†","","","","","","","","","","","0.0","T","3.0","","3.0","","70","","","","",""
"2013-01-16","2013","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-17","2013","01","17","†","","","","","","","","","","","0.0","T","0.0","T","0.0","T","73","","","","",""
"2013-01-18","2013","01","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-19","2013","01","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-20","2013","01","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-21","2013","01","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-22","2013","01","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","73","","","","",""
"2013-01-23","2013","01","23","†","","","","","","","","","","","0.0","","2.0","","2.0","","73","","","","",""
"2013-01-24","2013","01","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-01-25","2013","01","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-01-26","2013","01","26","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","75","","","","",""
"2013-01-27","2013","01","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-01-28","2013","01","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-01-29","2013","01","29","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","75","","","","",""
"2013-01-30","2013","01","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-01-31","2013","01","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","75","","","","",""
"2013-02-01","2013","02","01","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","75","","","","",""
"2013-02-02","2013","02","02","†","","","","","","","","","","","0.0","","4.0","","4.0","","75","","","","",""
"2013-02-03","2013","02","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","79","","","","",""
"2013-02-04","2013","02","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","79","","","","",""
