"Station Name","YORKTON"
"Province","SASKATCHEWAN"
"Latitude","51.26"
"Longitude","-102.46"
"Elevation","498.30"
"Climate Identifier","4019075"
"WMO Identifier","71292"
"TC Identifier","YQV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-03-01 00:00","2013","03","01","00:00","x","-7.1","","-8.3","","91","","16","","9","","16.1","","96.65","","","","-11","","NA"
"2013-03-01 01:00","2013","03","01","01:00","x","-7.9","","-8.7","","94","","12","","13","","8.1","","96.59","","","","-14","","NA"
"2013-03-01 02:00","2013","03","01","02:00","x","-7.6","","-8.3","","95","","15","","11","","16.1","","96.62","","","","-13","","NA"
"2013-03-01 03:00","2013","03","01","03:00","x","-7.4","","-8.5","","92","","14","","13","","16.1","","96.64","","","","-13","","NA"
"2013-03-01 04:00","2013","03","01","04:00","x","-7.4","","-8.3","","93","","16","","13","","16.1","","96.62","","","","-13","","NA"
"2013-03-01 05:00","2013","03","01","05:00","x","-7.4","","-8.3","","93","","15","","15","","16.1","","96.64","","","","-14","","NA"
"2013-03-01 06:00","2013","03","01","06:00","x","-7.7","","-8.6","","93","","16","","15","","16.1","","96.66","","","","-14","","NA"
"2013-03-01 07:00","2013","03","01","07:00","x","-7.5","","-8.4","","93","","16","","13","","16.1","","96.62","","","","-13","","NA"
"2013-03-01 08:00","2013","03","01","08:00","x","-7.5","","-8.4","","93","","17","","15","","16.1","","96.61","","","","-14","","NA"
"2013-03-01 09:00","2013","03","01","09:00","x","-7.3","","-8.5","","91","","16","","17","","16.1","","96.57","","","","-14","","NA"
"2013-03-01 10:00","2013","03","01","10:00","x","-7.1","","-8.5","","90","","17","","15","","16.1","","96.59","","","","-13","","NA"
"2013-03-01 11:00","2013","03","01","11:00","x","-6.7","","-8.2","","89","","16","","15","","16.1","","96.56","","","","-13","","NA"
"2013-03-01 12:00","2013","03","01","12:00","x","-6.1","","-7.9","","87","","16","","21","","16.1","","96.49","","","","-13","","NA"
"2013-03-01 13:00","2013","03","01","13:00","x","-5.4","","-7.3","","86","","16","","21","","16.1","","96.49","","","","-12","","NA"
"2013-03-01 14:00","2013","03","01","14:00","x","-4.6","","-6.6","","86","","14","","26","","16.1","","96.38","","","","-12","","NA"
"2013-03-01 15:00","2013","03","01","15:00","x","-4.6","","-6.6","","86","","14","","24","","16.1","","96.34","","","","-12","","NA"
"2013-03-01 16:00","2013","03","01","16:00","x","-4.7","","-6.5","","87","","15","","24","","16.1","","96.33","","","","-12","","NA"
"2013-03-01 17:00","2013","03","01","17:00","x","-5.2","","-6.7","","89","","14","","24","","16.1","","96.28","","","","-12","","NA"
"2013-03-01 18:00","2013","03","01","18:00","x","-5.3","","-6.5","","91","","15","","30","","12.9","","96.22","","","","-13","","NA"
"2013-03-01 19:00","2013","03","01","19:00","x","-5.8","","-6.7","","94","","15","","24","","12.9","","96.20","","","","-13","","NA"
"2013-03-01 20:00","2013","03","01","20:00","x","-5.9","","-6.3","","97","","16","","22","","9.7","","96.12","","","","-13","","NA"
"2013-03-01 21:00","2013","03","01","21:00","x","-5.3","","","M","","M","16","","18","","11.3","","96.06","","","","-12","","NA"
"2013-03-01 22:00","2013","03","01","22:00","x","-5.9","","","M","","M","16","","21","","8.1","","96.01","","","","-13","","NA"
"2013-03-01 23:00","2013","03","01","23:00","x","-5.8","","","M","","M","17","","18","","8.1","","95.94","","","","-12","","NA"
"2013-03-02 00:00","2013","03","02","00:00","x","-5.9","","","M","","M","16","","18","","6.4","","95.89","","","","-12","","NA"
