"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-07-01 00:00","2014","07","01","00:00","x","12.6","","11.4","","92","","33","","22","","24.1","","94.57","","","","","","Cloudy"
"2014-07-01 01:00","2014","07","01","01:00","x","12.4","","11.6","","95","","31","","19","","24.1","","94.65","","","","","","NA"
"2014-07-01 02:00","2014","07","01","02:00","x","12.3","","11.5","","95","","33","","18","","24.1","","94.66","","","","","","NA"
"2014-07-01 03:00","2014","07","01","03:00","x","12.3","","11.4","","94","","33","","21","","24.1","","94.72","","","","","","Mainly Clear"
"2014-07-01 04:00","2014","07","01","04:00","x","11.9","","10.8","","93","","32","","20","","24.1","","94.79","","","","","","NA"
"2014-07-01 05:00","2014","07","01","05:00","x","11.3","","10.5","","95","","32","","15","","24.1","","94.85","","","","","","NA"
"2014-07-01 06:00","2014","07","01","06:00","x","11.9","","10.5","","91","","33","","16","","24.1","","94.95","","","","","","Mostly Cloudy"
"2014-07-01 07:00","2014","07","01","07:00","x","13.0","","11.3","","89","","32","","14","","24.1","","95.01","","","","","","NA"
"2014-07-01 08:00","2014","07","01","08:00","x","14.8","","11.0","","78","","33","","18","","24.1","","95.06","","","","","","NA"
"2014-07-01 09:00","2014","07","01","09:00","x","14.7","","11.5","","81","","32","","21","","24.1","","95.10","","","","","","Mostly Cloudy"
"2014-07-01 10:00","2014","07","01","10:00","x","16.4","","10.3","","67","","34","","24","","24.1","","95.12","","","","","","NA"
"2014-07-01 11:00","2014","07","01","11:00","x","17.2","","10.2","","63","","34","","26","","24.1","","95.19","","","","","","NA"
"2014-07-01 12:00","2014","07","01","12:00","x","17.4","","9.6","","60","","35","","23","","24.1","","95.19","","","","","","Mostly Cloudy"
