"Station Name","REGINA INT'L A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016560"
"WMO Identifier","71863"
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2007-12-01 00:00","2007","12","01","00:00"," ","-23.4","","-26.0","","79","","","","0","","24.1","","95.08","","","","","","Clear"
"2007-12-01 01:00","2007","12","01","01:00"," ","-25.1","","-28.5","","73","","","","0","","24.1","","95.04","","","","","","Clear"
"2007-12-01 02:00","2007","12","01","02:00"," ","-26.3","","-30.4","","68","","","","0","","24.1","","95.06","","","","","","Mostly Cloudy"
"2007-12-01 03:00","2007","12","01","03:00"," ","-22.6","","-26.4","","71","","","","0","","19.3","","95.12","","","","","","Snow"
"2007-12-01 04:00","2007","12","01","04:00"," ","-18.5","","-21.4","","78","","","","0","","19.3","","95.10","","","","","","Snow"
"2007-12-01 05:00","2007","12","01","05:00"," ","-17.8","","-20.5","","79","","","","0","","16.1","","95.03","","","","","","Snow"
"2007-12-01 06:00","2007","12","01","06:00"," ","-16.7","","-19.6","","78","","","","0","","9.7","","94.98","","","","","","Snow"
"2007-12-01 07:00","2007","12","01","07:00"," ","-16.7","","-19.6","","78","","5","","11","","16.1","","94.93","","","","-24","","Snow"
"2007-12-01 08:00","2007","12","01","08:00"," ","-17.4","","-20.1","","79","","8","","7","","19.3","","94.96","","","","-23","","Snow"
"2007-12-01 09:00","2007","12","01","09:00"," ","-17.3","","-20.3","","77","","6","","13","","19.3","","94.92","","","","-25","","Snow"
"2007-12-01 10:00","2007","12","01","10:00"," ","-17.0","","-20.4","","75","","9","","11","","16.1","","94.96","","","","-24","","Cloudy"
"2007-12-01 11:00","2007","12","01","11:00"," ","-16.4","","-20.3","","72","","8","","15","","16.1","","94.93","","","","-25","","Cloudy"
"2007-12-01 12:00","2007","12","01","12:00"," ","-15.5","","-19.8","","70","","7","","15","","24.1","","94.87","","","","-24","","Mostly Cloudy"
"2007-12-01 13:00","2007","12","01","13:00"," ","-15.4","","-19.9","","68","","8","","19","","24.1","","94.80","","","","-24","","Mostly Cloudy"
"2007-12-01 14:00","2007","12","01","14:00"," ","-15.3","","-20.3","","66","","5","","19","","24.1","","94.71","","","","-24","","Mostly Cloudy"
"2007-12-01 15:00","2007","12","01","15:00"," ","-15.5","","-20.6","","65","","7","","19","","24.1","","94.66","","","","-25","","Cloudy"
"2007-12-01 16:00","2007","12","01","16:00"," ","-16.0","","-20.5","","68","","6","","11","","24.1","","94.69","","","","-23","","Cloudy"
"2007-12-01 17:00","2007","12","01","17:00"," ","-16.4","","-20.8","","69","","5","","13","","24.1","","94.69","","","","-24","","Mostly Cloudy"
"2007-12-01 18:00","2007","12","01","18:00"," ","-16.4","","-20.8","","69","","8","","15","","24.1","","94.72","","","","-25","","Cloudy"
"2007-12-01 19:00","2007","12","01","19:00"," ","-16.7","","-20.8","","70","","9","","15","","24.1","","94.78","","","","-25","","Cloudy"
"2007-12-01 20:00","2007","12","01","20:00"," ","-16.7","","-20.6","","72","","4","","9","","24.1","","94.80","","","","-23","","Cloudy"
"2007-12-01 21:00","2007","12","01","21:00"," ","-17.0","","-20.9","","72","","6","","9","","24.1","","94.79","","","","-23","","Cloudy"
"2007-12-01 22:00","2007","12","01","22:00"," ","-17.3","","-21.0","","73","","8","","11","","24.1","","94.79","","","","-24","","Cloudy"
"2007-12-01 23:00","2007","12","01","23:00"," ","-18.9","","-22.2","","75","","10","","7","","12.9","","94.77","","","","-24","","Snow"
"2007-12-02 00:00","2007","12","02","00:00"," ","-20.3","","-23.5","","76","","10","","6","","12.9","","94.79","","","","-25","","Cloudy"
"2007-12-02 01:00","2007","12","02","01:00"," ","-22.0","","-24.7","","79","","","","0","","24.1","","94.85","","","","","","Mostly Cloudy"
"2007-12-02 02:00","2007","12","02","02:00"," ","-22.1","","-24.9","","78","","","","0","","24.1","","94.83","","","","","","Mostly Cloudy"
"2007-12-02 03:00","2007","12","02","03:00"," ","-21.6","","-24.6","","77","","","","0","","24.1","","94.95","","","","","","Mostly Cloudy"
"2007-12-02 04:00","2007","12","02","04:00"," ","-22.2","","-25.8","","72","","","","0","","24.1","","94.94","","","","","","Mainly Clear"
"2007-12-02 05:00","2007","12","02","05:00"," ","-22.8","","-26.4","","72","","11","","7","","24.1","","94.98","","","","-29","","Mainly Clear"
"2007-12-02 06:00","2007","12","02","06:00"," ","-23.5","","-26.9","","74","","14","","4","","24.1","","95.02","","","","-27","","Mainly Clear"
"2007-12-02 07:00","2007","12","02","07:00"," ","-23.9","","-27.2","","74","","","","0","","24.1","","95.06","","","","","","Mainly Clear"
"2007-12-02 08:00","2007","12","02","08:00"," ","-22.6","","-26.0","","74","","13","","9","","24.1","","95.06","","","","-30","","Mostly Cloudy"
"2007-12-02 09:00","2007","12","02","09:00"," ","-23.4","","-26.9","","73","","14","","13","","24.1","","95.08","","","","-33","","Mainly Clear"
"2007-12-02 10:00","2007","12","02","10:00"," ","-23.1","","-26.7","","72","","14","","11","","24.1","","95.07","","","","-31","","Clear"
"2007-12-02 11:00","2007","12","02","11:00"," ","-21.3","","-24.4","","76","","12","","11","","24.1","","95.05","","","","-29","","Clear"
"2007-12-02 12:00","2007","12","02","12:00"," ","-19.6","","-22.7","","76","","12","","15","","24.1","","95.01","","","","-29","","Mainly Clear"
"2007-12-02 13:00","2007","12","02","13:00"," ","-18.0","","-21.2","","76","","12","","20","","24.1","","94.97","","","","-28","","Mostly Cloudy"
"2007-12-02 14:00","2007","12","02","14:00"," ","-17.1","","-20.7","","74","","12","","24","","24.1","","94.89","","","","-28","","Mostly Cloudy"
"2007-12-02 15:00","2007","12","02","15:00"," ","-16.0","","-19.8","","72","","12","","28","","24.1","","94.78","","","","-27","","Mostly Cloudy"
"2007-12-02 16:00","2007","12","02","16:00"," ","-15.7","","-19.5","","73","","13","","32","","24.1","","94.76","","","","-27","","Mostly Cloudy"
"2007-12-02 17:00","2007","12","02","17:00"," ","-15.0","","-18.7","","73","","13","","30","","24.1","","94.79","","","","-26","","Mostly Cloudy"
"2007-12-02 18:00","2007","12","02","18:00"," ","-14.9","","-18.5","","74","","13","","30","","24.1","","94.79","","","","-26","","Mostly Cloudy"
"2007-12-02 19:00","2007","12","02","19:00"," ","-15.8","","-19.1","","76","","12","","30","","24.1","","94.80","","","","-27","","Mainly Clear"
"2007-12-02 20:00","2007","12","02","20:00"," ","-16.3","","-19.8","","74","","12","","33","","24.1","","94.77","","","","-28","","Mostly Cloudy"
"2007-12-02 21:00","2007","12","02","21:00"," ","-16.2","","-19.8","","74","","13","","28","","24.1","","94.78","","","","-27","","Mostly Cloudy"
"2007-12-02 22:00","2007","12","02","22:00"," ","-16.2","","-19.6","","75","","13","","28","","24.1","","94.78","","","","-27","","Mostly Cloudy"
"2007-12-02 23:00","2007","12","02","23:00"," ","-16.5","","-20.0","","74","","12","","24","","24.1","","94.75","","","","-27","","Mostly Cloudy"
