"Station Name","YORKTON"
"Province","SASKATCHEWAN"
"Latitude","51.26"
"Longitude","-102.46"
"Elevation","498.30"
"Climate Identifier","4019075"
"WMO Identifier","71292"
"TC Identifier","YQV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-03-01 00:00","2015","03","01","00:00","x","-12.7","","-14.4","","87","","29","","13","","4.8","","95.80","","","","-20","","Snow"
"2015-03-01 01:00","2015","03","01","01:00","x","-14.2","","-15.8","","88","","29","","13","","16.1","","95.83","","","","-21","","Snow"
"2015-03-01 02:00","2015","03","01","02:00","x","-12.2","","-13.9","","87","","30","","21","","16.1","","95.87","","","","-21","","NA"
"2015-03-01 03:00","2015","03","01","03:00","x","-13.0","","-14.6","","88","","30","","22","","16.1","","95.91","","","","-22","","NA"
"2015-03-01 04:00","2015","03","01","04:00","x","-15.3","","-16.9","","88","","29","","17","","16.1","","95.95","","","","-24","","NA"
"2015-03-01 05:00","2015","03","01","05:00","x","-14.3","","-15.9","","88","","27","","17","","16.1","","95.98","","","","-23","","Snow"
"2015-03-01 06:00","2015","03","01","06:00","x","-13.3","","-14.9","","88","","29","","22","","9.7","","96.04","","","","-22","","Snow"
"2015-03-01 07:00","2015","03","01","07:00","x","-16.4","","-18.1","","87","","29","","13","","16.1","","96.12","","","","-24","","Snow"
"2015-03-01 08:00","2015","03","01","08:00","x","-15.7","","-17.0","","90","","28","","22","","16.1","","96.16","","","","-25","","NA"
"2015-03-01 09:00","2015","03","01","09:00","x","-14.3","","-15.7","","89","","27","","18","","16.1","","96.21","","","","-23","","NA"
"2015-03-01 10:00","2015","03","01","10:00","x","-13.4","","-14.8","","89","","24","","15","","6.4","","96.23","","","","-21","","Snow"
"2015-03-01 11:00","2015","03","01","11:00","x","-10.5","","-13.0","","82","","29","","21","","16.1","","96.29","","","","-19","","NA"
"2015-03-01 12:00","2015","03","01","12:00","x","-9.4","","-12.9","","76","","30","","26","","16.1","","96.33","","","","-18","","NA"
"2015-03-01 13:00","2015","03","01","13:00","x","-9.1","","-12.9","","74","","28","","22","","16.1","","96.37","","","","-17","","NA"
"2015-03-01 14:00","2015","03","01","14:00","x","-8.8","","-13.6","","68","","30","","26","","16.1","","96.36","","","","-17","","NA"
"2015-03-01 15:00","2015","03","01","15:00","x","-8.9","","-13.6","","69","","28","","26","","16.1","","96.36","","","","-18","","Snow"
"2015-03-01 16:00","2015","03","01","16:00","x","-9.5","","-14.3","","69","","29","","30","","16.1","","96.40","","","","-19","","Snow"
"2015-03-01 17:00","2015","03","01","17:00","x","-10.0","","-14.8","","68","","29","","24","","16.1","","96.40","","","","-19","","NA"
"2015-03-01 18:00","2015","03","01","18:00","x","-11.5","","-15.9","","70","","29","","18","","16.1","","96.41","","","","-19","","NA"
"2015-03-01 19:00","2015","03","01","19:00","x","-14.1","","-17.6","","75","","29","","11","","16.1","","96.39","","","","-21","","NA"
"2015-03-01 20:00","2015","03","01","20:00","x","-13.6","","-17.3","","74","","24","","11","","16.1","","96.41","","","","-20","","NA"
"2015-03-01 21:00","2015","03","01","21:00","x","-14.1","","-16.7","","81","","23","","17","","16.1","","96.41","","","","-22","","NA"
"2015-03-01 22:00","2015","03","01","22:00","x","-16.3","","-18.1","","86","","21","","15","","16.1","","96.36","","","","-25","","NA"
