"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"x","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (degC)","Temp Flag","Dew Point Temp (degC)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-01-01 00:00","2015","01","01","00:00","x","-3.8","","-7.8","","74","","30","","30","","24.1","","94.16","","","","-11","","Snow"
"2015-01-01 01:00","2015","01","01","01:00","x","-4.6","","-7.2","","82","","32","","26","","19.3","","94.18","","","","-12","","Snow,Blowing Snow"
"2015-01-01 02:00","2015","01","01","02:00","x","-5.2","","-6.7","","89","","31","","19","","19.3","","94.21","","","","-12","","Snow"
"2015-01-01 03:00","2015","01","01","03:00","x","-5.8","","-6.9","","92","","32","","18","","24.1","","94.24","","","","-12","","Snow"
"2015-01-01 04:00","2015","01","01","04:00","x","-7.0","","-8.0","","93","","31","","14","","24.1","","94.30","","","","-13","","Snow"
"2015-01-01 05:00","2015","01","01","05:00","x","-6.3","","-7.3","","93","","31","","14","","24.1","","94.36","","","","-12","","Snow"
"2015-01-01 06:00","2015","01","01","06:00","x","-6.0","","-7.0","","93","","33","","18","","24.1","","94.45","","","","-12","","Snow"
"2015-01-01 07:00","2015","01","01","07:00","x","-6.0","","-7.0","","93","","33","","10","","24.1","","94.52","","","","-10","","NA"
"2015-01-01 08:00","2015","01","01","08:00","x","-6.0","","-7.0","","93","","36","","13","","24.1","","94.57","","","","-11","","Snow"
"2015-01-01 09:00","2015","01","01","09:00","x","-6.9","","-8.6","","88","","3","","9","","24.1","","94.63","","","","-11","","Snow"
"2015-01-01 10:00","2015","01","01","10:00","x","-7.6","","-9.7","","85","","3","","10","","24.1","","94.73","","","","-12","","Snow"
"2015-01-01 11:00","2015","01","01","11:00","x","-8.0","","-10.9","","80","","3","","11","","24.1","","94.79","","","","-13","","NA"
"2015-01-01 12:00","2015","01","01","12:00","x","-8.3","","-11.3","","79","","5","","4","","24.1","","94.82","","","","-10","","Snow Showers"
"2015-01-01 13:00","2015","01","01","13:00","x","-8.0","","-11.2","","78","","9","","4","","24.1","","94.74","","","","-10","","NA"
"2015-01-01 14:00","2015","01","01","14:00","x","-7.6","","-10.3","","81","","18","","6","","24.1","","94.75","","","","-11","","NA"
"2015-01-01 15:00","2015","01","01","15:00","x","-7.8","","-10.4","","82","","16","","8","","24.1","","94.72","","","","-12","","Cloudy"
"2015-01-01 16:00","2015","01","01","16:00","x","-7.7","","-9.8","","85","","15","","11","","24.1","","94.65","","","","-13","","NA"
